"epoch","Name: implicit - _step","Name: implicit - _step__MIN","Name: implicit - _step__MAX","Name: implicit - train/MSE","Name: implicit - train/MSE__MIN","Name: implicit - train/MSE__MAX","Name: explicit_transformerpred - _step","Name: explicit_transformerpred - _step__MIN","Name: explicit_transformerpred - _step__MAX","Name: explicit_transformerpred - train/MSE","Name: explicit_transformerpred - train/MSE__MIN","Name: explicit_transformerpred - train/MSE__MAX","Name: explicit_knownpred - _step","Name: explicit_knownpred - _step__MIN","Name: explicit_knownpred - _step__MAX","Name: explicit_knownpred - train/MSE","Name: explicit_knownpred - train/MSE__MIN","Name: explicit_knownpred - train/MSE__MAX"
"0","2","2","2","0.28165616393089293","0.24927517771720886","0.3430183529853821","2","2","2","0.3202092617750168","0.24352392554283142","0.4739629328250885","2","2","2","0.34503336250782013","0.24413546919822693","0.48845529556274414"
"1","4","4","4","0.2271444320678711","0.20781831443309784","0.25818973779678345","4","4","4","0.22821150422096254","0.2050776481628418","0.2546587288379669","4","4","4","0.18723750859498978","0.13350015878677368","0.2400456964969635"
"2","6","6","6","0.20954596102237702","0.1986294984817505","0.2290642261505127","6","6","6","0.20242362469434738","0.16581998765468597","0.22728852927684784","6","6","6","0.1260481096804142","0.08678233623504639","0.16165664792060852"
"3","8","8","8","0.19765984117984772","0.16874006390571594","0.2100575864315033","8","8","8","0.18480190336704255","0.1325063407421112","0.22082526981830597","8","8","8","0.09126057550311088","0.0747608169913292","0.1300555169582367"
"4","10","10","10","0.18859396278858184","0.15796753764152527","0.2069467008113861","10","10","10","0.15466619208455085","0.09078770875930786","0.21909046173095703","10","10","10","0.07454193234443665","0.06712359935045242","0.09231637418270111"
"5","12","12","12","0.17698335349559785","0.1416986584663391","0.20070871710777283","12","12","12","0.12985828146338463","0.09184671938419342","0.19394542276859283","12","12","12","0.06673390567302703","0.058359820395708084","0.08724011480808258"
"6","14","14","14","0.16212901026010512","0.14811833202838898","0.18354839086532593","14","14","14","0.11159654632210732","0.08088897168636322","0.15313543379306793","14","14","14","0.06506091803312301","0.05788208171725273","0.07337494939565659"
"7","16","16","16","0.14651483818888664","0.11515655368566513","0.17276136577129364","16","16","16","0.09240759462118149","0.07470826059579849","0.11838497221469879","16","16","16","0.06491952836513519","0.059735335409641266","0.06950583308935165"
"8","18","18","18","0.12774259299039842","0.10161040723323822","0.15339478850364685","18","18","18","0.08241927847266198","0.06615344434976578","0.10012562572956085","18","18","18","0.061085562035441396","0.052250225096940994","0.06586586683988571"
"9","20","20","20","0.11809107661247253","0.08665769547224045","0.14254041016101837","20","20","20","0.07862377911806107","0.06655152142047882","0.09324862062931061","20","20","20","0.05930064618587494","0.05577625706791878","0.06375250220298767"
"10","23","23","23","0.1081463135778904","0.08573821187019348","0.13247284293174744","23","23","23","0.07237261310219764","0.06037481874227524","0.08414885401725769","23","23","23","0.0616020567715168","0.050853975117206573","0.06847333908081055"
"11","25","25","25","0.09939427077770233","0.0846499353647232","0.11571194976568222","25","25","25","0.067405741289258","0.05634891986846924","0.07845960557460785","25","25","25","0.056733020767569545","0.05100301653146744","0.06222841143608093"
"12","27","27","27","0.09113551825284957","0.07272730767726898","0.11206606775522232","27","27","27","0.06511846855282784","0.056366048753261566","0.07846923172473907","27","27","27","0.05473198629915714","0.044962383806705475","0.06147119402885437"
"13","29","29","29","0.08428952544927597","0.07029438763856888","0.09489860385656357","29","29","29","0.06251112148165702","0.05726632475852966","0.07081355154514313","29","29","29","0.054743338748812674","0.04601219668984413","0.05966413766145706"
"14","31","31","31","0.080750672519207","0.06924901157617569","0.09925178438425064","31","31","31","0.05965887121856213","0.05141247436404228","0.06732872873544693","31","31","31","0.0547205351293087","0.0454893484711647","0.06261154264211655"
"15","33","33","33","0.07432705797255039","0.05891348794102669","0.09066945314407349","33","33","33","0.05937928892672062","0.05255100876092911","0.06591474264860153","33","33","33","0.051770451664924624","0.03406379371881485","0.060042135417461395"
"16","35","35","35","0.07168107628822326","0.06297741085290909","0.08230706304311752","35","35","35","0.05810307040810585","0.05286599323153496","0.06422816216945648","35","35","35","0.051008093357086184","0.03837031126022339","0.05942830443382263"
"17","37","37","37","0.06875903606414795","0.0558546781539917","0.07624892890453339","37","37","37","0.058190542832016946","0.05153514817357063","0.06430138647556305","37","37","37","0.048732271417975426","0.03376453369855881","0.054695915430784225"
"18","39","39","39","0.06487398408353329","0.05515032261610031","0.07318457216024399","39","39","39","0.05803699567914009","0.05152509734034538","0.06446047872304916","39","39","39","0.04820035062730312","0.033099181950092316","0.05417366698384285"
"19","41","41","41","0.06480566635727883","0.05891743302345276","0.07065100222826004","41","41","41","0.05627720579504967","0.050080351531505585","0.062494706362485886","41","41","41","0.04576877392828464","0.03057922050356865","0.05295348912477493"
"20","44","44","44","0.06198063939809799","0.05538807436823845","0.0689120888710022","44","44","44","0.05620037242770195","0.051625389605760574","0.059792906045913696","44","44","44","0.04373813010752201","0.030420828610658646","0.05270456522703171"
"21","46","46","46","0.0592688225209713","0.05386466532945633","0.0675445944070816","46","46","46","0.05563627071678638","0.04976215958595276","0.061691202223300934","46","46","46","0.04472486525774002","0.027243439108133316","0.05204217508435249"
"22","48","48","48","0.05823197960853577","0.05222035571932793","0.06226106733083725","48","48","48","0.054814652726054194","0.04661382734775543","0.05915204435586929","48","48","48","0.043759110197424886","0.031460873782634735","0.05655856058001518"
"23","50","50","50","0.05681997388601303","0.04994954913854599","0.0639943927526474","50","50","50","0.05433541387319565","0.04885575547814369","0.059022147208452225","50","50","50","0.04100292399525642","0.030271092429757118","0.051189251244068146"
"24","52","52","52","0.05557807758450508","0.04989861696958542","0.06145719438791275","52","52","52","0.054117536172270775","0.04961215704679489","0.060395337641239166","52","52","52","0.037590539269149306","0.026523694396018982","0.04827367141842842"
"25","54","54","54","0.05310583710670471","0.046232473105192184","0.0566842257976532","54","54","54","0.05383584946393967","0.04815969616174698","0.059695012867450714","54","54","54","0.03561013527214527","0.025454416871070862","0.044016074389219284"
