"epoch","Name: explicit_transformerpred - _step","Name: explicit_transformerpred - _step__MIN","Name: explicit_transformerpred - _step__MAX","Name: explicit_transformerpred - train/params_MSE","Name: explicit_transformerpred - train/params_MSE__MIN","Name: explicit_transformerpred - train/params_MSE__MAX","Name: explicit_knownpred - _step","Name: explicit_knownpred - _step__MIN","Name: explicit_knownpred - _step__MAX","Name: explicit_knownpred - train/params_MSE","Name: explicit_knownpred - train/params_MSE__MIN","Name: explicit_knownpred - train/params_MSE__MAX"
"0","2","2","2","0.2938580706715584","0.1738191545009613","0.6151095628738403","2","2","2","0.2799620419740677","0.1764250248670578","0.5064009428024292"
"1","4","4","4","0.17142870277166367","0.15419526398181915","0.1955612599849701","4","4","4","0.17208152115345002","0.15567409992218018","0.18767380714416504"
"2","6","6","6","0.15354374796152115","0.12626267969608307","0.19147610664367676","6","6","6","0.158761365711689","0.13944940268993378","0.1796540915966034"
"3","8","8","8","0.12996412962675094","0.08201943337917328","0.169840008020401","8","8","8","0.13497602567076683","0.09984198212623596","0.15922851860523224"
"4","10","10","10","0.10843393951654434","0.06313382089138031","0.14759856462478638","10","10","10","0.10795350670814514","0.07613461464643478","0.13964325189590454"
"5","12","12","12","0.08188448883593083","0.05606535077095032","0.12604635953903198","12","12","12","0.08553993739187718","0.06175316497683525","0.11137913167476654"
"6","14","14","14","0.06762655302882195","0.05372766777873039","0.09386280924081802","14","14","14","0.07065344415605068","0.0559413842856884","0.08884195238351822"
"7","16","16","16","0.060582016780972484","0.050695519894361496","0.09442226588726044","16","16","16","0.06045383624732494","0.05070041865110397","0.07679545134305954"
"8","18","18","18","0.05430756434798241","0.049598999321460724","0.05916476994752884","18","18","18","0.054307153448462486","0.04801473766565323","0.06910037994384766"
"9","20","20","20","0.05147978849709034","0.04662565886974335","0.05544383078813553","20","20","20","0.0508770652115345","0.045244600623846054","0.06022302061319351"
"10","23","23","23","0.050377128273248674","0.04765170067548752","0.052989304065704346","23","23","23","0.050033480674028394","0.04443620145320892","0.05363405868411064"
"11","25","25","25","0.049484995380043986","0.04592352360486984","0.05485023185610771","25","25","25","0.046723310649394986","0.0443839393556118","0.049769170582294464"
"12","27","27","27","0.04803257212042809","0.04570578783750534","0.05215902253985405","27","27","27","0.04623604714870453","0.0436730831861496","0.04910825937986374"
"13","29","29","29","0.048027558252215385","0.044929660856723785","0.051942747086286545","29","29","29","0.044981884956359866","0.03917539119720459","0.048982322216033936"
"14","31","31","31","0.047000061720609665","0.044069040566682816","0.0493001714348793","31","31","31","0.045180239528417585","0.038533709943294525","0.04972600191831589"
"15","33","33","33","0.04608607962727547","0.04378201812505722","0.05339875817298889","33","33","33","0.043983623012900354","0.03298686444759369","0.04962947964668274"
"16","35","35","35","0.04548931978642941","0.04233332723379135","0.05100216716527939","35","35","35","0.04385979659855366","0.03416910395026207","0.048101022839546204"
"17","37","37","37","0.045933632925152776","0.0438745841383934","0.049104638397693634","37","37","37","0.042852708324790004","0.030263464897871017","0.047052472829818726"
"18","39","39","39","0.04595963656902313","0.04194266349077225","0.049045201390981674","39","39","39","0.0426245404407382","0.02845216728746891","0.047633685171604156"
"19","41","41","41","0.04535584896802902","0.04283226281404495","0.04903533682227135","41","41","41","0.04187777563929558","0.026636656373739243","0.04725462943315506"
"20","44","44","44","0.04470283351838589","0.03928128257393837","0.05552440136671066","44","44","44","0.04042896796017885","0.023869266733527184","0.04640217870473862"
"21","46","46","46","0.04532380141317845","0.04027491807937622","0.05707542225718498","46","46","46","0.0400333197787404","0.021763546392321587","0.0454210564494133"
"22","48","48","48","0.045826555043458936","0.0432896614074707","0.049941807985305786","48","48","48","0.040594972856342795","0.02844185195863247","0.046104032546281815"
"23","50","50","50","0.043668856099247935","0.03990282490849495","0.04970048367977142","50","50","50","0.038068635016679765","0.024563834071159363","0.045886047184467316"
"24","52","52","52","0.043579106032848355","0.0379047617316246","0.048267047852277756","52","52","52","0.03678401429206133","0.021288515999913216","0.046644169837236404"
"25","54","54","54","0.04311980903148651","0.03797738999128342","0.04671673849225044","54","54","54","0.03605458699166775","0.022545315325260162","0.04436811804771423"
"26","56","56","56","0.04327748492360115","0.03940582647919655","0.04598711431026459","56","56","56","0.03572440762072802","0.022804182022809982","0.04453886300325394"
"27","58","58","58","0.04271557033061981","0.03589431568980217","0.04809726029634476","58","58","58","0.03356396071612835","0.02079613134264946","0.04256270080804825"
"28","60","60","60","0.04111466929316521","0.035390887409448624","0.046686802059412","60","60","60","0.032148477621376514","0.022522075101733208","0.04055500030517578"
"29","62","62","62","0.040198877640068534","0.030631596222519875","0.044225867837667465","62","62","62","0.030556122399866582","0.020338280126452446","0.04048394039273262"
"30","65","65","65","0.039825667068362235","0.03414827957749367","0.04692726582288742","65","65","65","0.030597801506519317","0.019616302102804184","0.040305428206920624"
"31","67","67","67","0.03955367356538773","0.03113861009478569","0.04702938348054886","67","67","67","0.0284675819799304","0.01896587572991848","0.03782665729522705"
"32","69","69","69","0.039626804366707805","0.0340740941464901","0.046619053930044174","69","69","69","0.027123568952083586","0.020272396504878998","0.03534200042486191"
"33","71","71","71","0.03799865934997797","0.03044811822474003","0.043656159192323685","71","71","71","0.02685006633400917","0.01952049694955349","0.03299879655241966"
"34","73","73","73","0.038079597800970075","0.0317155160009861","0.0433337539434433","73","73","73","0.025629379600286484","0.020648544654250145","0.03276863694190979"
"35","75","75","75","0.0365355322137475","0.02939867414534092","0.045120157301425934","75","75","75","0.024823260307312012","0.01925363764166832","0.029668468981981277"
"36","77","77","77","0.03719702363014221","0.03179449215531349","0.04920433834195137","77","77","77","0.024478562735021116","0.020503360778093338","0.03016262874007225"
"37","79","79","79","0.036339762061834334","0.028311002999544144","0.048362620174884796","79","79","79","0.022866116091609","0.019351327791810036","0.02955862507224083"
"38","81","81","81","0.034978806413710116","0.02920718863606453","0.042558956891298294","81","81","81","0.021925094164907934","0.018713319674134254","0.025910627096891403"
"39","83","83","83","0.03387610297650099","0.026586363092064857","0.041882868856191635","83","83","83","0.021253388747572897","0.017192302271723747","0.02493259124457836"
"40","86","86","86","0.03368684556335211","0.027038732543587685","0.03964778035879135","86","86","86","0.021704393066465856","0.01806168258190155","0.02592054009437561"
"41","88","88","88","0.03154070042073727","0.024416174739599228","0.040825895965099335","88","88","88","0.02122140843421221","0.016473662108182907","0.024373721331357956"
"42","90","90","90","0.03188766483217478","0.026346027851104736","0.041614942252635956","90","90","90","0.020701743476092816","0.019032981246709824","0.022219929844141006"
"43","92","92","92","0.03164128698408604","0.024837329983711243","0.04060778766870499","92","92","92","0.019913276098668574","0.017200561240315437","0.022204000502824783"
"44","94","94","94","0.03106085006147623","0.024808723479509354","0.03793686255812645","94","94","94","0.01990761887282133","0.01755521073937416","0.021612942218780518"
"45","96","96","96","0.030475000478327276","0.02516753412783146","0.034919288009405136","96","96","96","0.01981150358915329","0.017348209396004677","0.02257724106311798"
"46","98","98","98","0.03080679550766945","0.025116587057709694","0.03789623826742172","98","98","98","0.02008418459445238","0.016330333426594734","0.024467451497912407"
"47","100","100","100","0.02928053829818964","0.024916762486100197","0.032935164868831635","100","100","100","0.01967080757021904","0.015985962003469467","0.022859646007418633"
"48","102","102","102","0.02844808269292116","0.024418607354164124","0.031751908361911774","102","102","102","0.018706893362104893","0.015213161706924438","0.020665843039751053"
"49","104","104","104","0.027186239138245583","0.02372192218899727","0.0321076437830925","104","104","104","0.019024531170725823","0.017510131001472473","0.021125441417098045"
"50","107","107","107","0.027294041030108927","0.02393423393368721","0.033183131366968155","107","107","107","0.018883129023015498","0.016023045405745506","0.021444082260131836"
"51","109","109","109","0.027156651206314563","0.022319812327623367","0.033846236765384674","109","109","109","0.018140327744185926","0.016815951094031334","0.020597662776708603"
"52","111","111","111","0.025901117734611033","0.022218521684408188","0.03210597485303879","111","111","111","0.016699156351387502","0.01478798408061266","0.019028430804610252"
"53","113","113","113","0.025088358111679553","0.021752778440713882","0.030408373102545738","113","113","113","0.017421941738575697","0.014424584805965424","0.0199426356703043"
"54","115","115","115","0.02506571840494871","0.0213333610445261","0.029004519805312157","115","115","115","0.017421227972954513","0.015484283678233624","0.018675874918699265"
"55","117","117","117","0.025827215425670146","0.020887264981865883","0.03010878525674343","117","117","117","0.017550557292997836","0.014522194862365723","0.020174577832221985"
