run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
z8ihd1k8,970.0,implicit,46.860443115234375,5.373095989227295,489.3761291503906
4zqm9avi,976.0,implicit,49.3948860168457,5.649086952209473,516.0020141601562
qg01lpwj,240.0,implicit,61.62186050415039,8.563318252563477,652.1210327148438
1hjc1ndk,986.0,implicit,51.5131721496582,6.379492282867432,513.4955444335938
bg7jtkp5,998.0,implicit,56.392486572265625,8.965493202209473,665.5737915039062
s68m2ixa,968.0,explicit-transformer,37.780818939208984,4.253109455108643,425.42218017578125
ylf7hzr9,292.0,explicit-transformer,42.39666748046875,4.730815410614014,490.88934326171875
nto88cve,981.0,explicit-transformer,36.99306106567383,4.125060558319092,645.5022583007812
ppzwfw0e,104.0,explicit-transformer,50.92735290527344,5.635406970977783,579.242919921875
h8vp0ome,938.0,explicit-transformer,37.207855224609375,4.158985614776611,481.068603515625
57s548x6,998.0,explicit-mlp,40.64536666870117,5.5540690422058105,524.3363647460938
vg74ztn1,993.0,explicit-mlp,41.62860870361328,5.612709045410156,543.258544921875
c6dxzulk,985.0,explicit-mlp,41.46238708496094,5.533815860748291,531.5015869140625
ki4ey9wd,951.0,explicit-mlp,41.47684860229492,5.809848785400391,526.5484008789062
m853304b,669.0,explicit-mlp,43.25086975097656,6.000452518463135,548.66064453125
