run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
tj6yjzbi,635.0,implicit,35.12691879272461,3.9144866466522217,389.2323303222656
1g5nbmee,988.0,implicit,41.54966735839844,4.830270767211914,444.06549072265625
jwnipoiv,596.0,implicit,34.104007720947266,4.148721218109131,379.4403381347656
fap90kyl,953.0,implicit,33.009666442871094,3.8698599338531494,367.9432373046875
sm10mmjp,761.0,implicit,33.300941467285156,3.7187082767486572,379.5247802734375
caf9lb80,996.0,explicit-transformer,38.32524871826172,4.158193588256836,413.29852294921875
lqz221f8,999.0,explicit-transformer,37.28557586669922,4.108962059020996,405.4035949707031
k8omcxri,999.0,explicit-transformer,38.6903076171875,4.247977256774902,420.07110595703125
z5s450m5,4.0,explicit-transformer,100.55647277832031,10.621006965637207,899.986083984375
fxan3z2w,984.0,explicit-mlp,40.04035568237305,6.35606050491333,530.97998046875
6y2tna24,337.0,explicit-transformer,43.149436950683594,4.6906352043151855,468.4395751953125
0wgla9vc,988.0,explicit-mlp,39.88327407836914,6.24977445602417,535.6765747070312
goqathcd,999.0,explicit-mlp,40.69375228881836,6.305109024047852,543.4136962890625
5c7u4ujk,993.0,explicit-mlp,41.268402099609375,6.420682430267334,552.5280151367188
nrzkcc9w,986.0,explicit-mlp,40.27705764770508,6.448779106140137,544.5946655273438
