run_id,epoch,model,context_style,val/iid_MSE,val/far_MSE,val/wide_MSE
9mjdbq9h,988,explicit-known,near,0.010746787302196026,0.012948105111718178,0.013104284182190895
zyogy7e9,988,explicit-known,near,0.010695425793528557,0.013148166239261627,0.01329021342098713
7jhooe2k,988,explicit-known,near,0.010779839009046555,0.013305730186402798,0.013896331191062927
lt9a2jcd,988,explicit-known,near,0.010786421597003937,0.013839869759976864,0.013969223015010357
44jcaknd,988,explicit-known,near,0.010762582533061504,0.01296057179570198,0.012982259504497051
ifusvqf5,996,explicit-known,same,0.01088748313486576,0.013349037617444992,0.013797495514154434
r0rgoufl,996,explicit-known,same,0.010629294440150261,0.0122393062338233,0.012527567334473133
x426k3ij,996,explicit-known,same,0.010699773207306862,0.012316380627453327,0.01255499105900526
i6ti95t1,996,explicit-known,same,0.01077322382479906,0.013393460772931576,0.013645936734974384
hhha00g9,996,explicit-known,same,0.010784042067825794,0.013327909633517265,0.013266758993268013
17vq94n9,477,explicit-mlp,near,0.011094199493527412,0.021999333053827286,0.2999606132507324
krbfkd93,477,explicit-mlp,near,0.01121736690402031,0.023478807881474495,0.2672105133533478
ugebwnyq,477,explicit-mlp,near,0.011042254976928234,0.01984577625989914,0.2833128273487091
yh46a1wz,477,explicit-mlp,near,0.011185486800968647,0.019196031615138054,0.27768224477767944
g9e77p8q,477,explicit-mlp,near,0.010857407003641129,0.02015298418700695,0.29651546478271484
n2q056bs,914,explicit-mlp,same,0.011175737716257572,0.01902608945965767,0.19794102013111115
qb4mf34p,914,explicit-mlp,same,0.010825040750205517,0.016423391178250313,0.18783602118492126
tdwlrmu7,914,explicit-mlp,same,0.011001992970705032,0.015370380133390427,0.20282228291034698
5z3fop2h,914,explicit-mlp,same,0.011704165488481522,0.014918006025254726,0.15111228823661804
43zam6ik,914,explicit-mlp,same,0.010802491568028927,0.014840413816273212,0.19191616773605347
tzzda88j,798,explicit-transformer,near,0.010954806581139565,0.017338650301098824,0.4023112654685974
bke4hr0w,798,explicit-transformer,near,0.010972311720252037,0.01738860458135605,0.40003132820129395
euspmx0p,798,explicit-transformer,near,0.011481412686407566,0.021426629275083542,0.4160442650318146
6rlp17ct,798,explicit-transformer,near,0.010897864587605,0.01876215450465679,0.4797446131706238
i7206tzv,798,explicit-transformer,near,0.011278911493718624,0.020249206572771072,0.41325607895851135
cx3z3xtz,616,explicit-transformer,same,0.01104600541293621,0.01854315586388111,0.4044661819934845
7cy7xis0,616,explicit-transformer,same,0.011052710935473442,0.018162250518798828,0.46022480726242065
7c222a6x,616,explicit-transformer,same,0.011702218092978,0.02017666958272457,0.4458785951137543
1h87h0s5,616,explicit-transformer,same,0.010924349538981915,0.01746286451816559,0.4177578389644623
m0q1wgeh,616,explicit-transformer,same,0.010868474841117859,0.016277363523840904,0.4186144173145294
8imc09hs,967,implicit,near,0.010905753821134567,0.02071976847946644,0.37589219212532043
rj1rv2x0,967,implicit,near,0.01079271174967289,0.015578566119074821,0.37663766741752625
abco6gpm,967,implicit,near,0.010987123474478722,0.017160864546895027,0.3785345256328583
oudzg1mx,967,implicit,near,0.010714167729020119,0.017971960827708244,0.36303454637527466
u69pplxq,967,implicit,near,0.010661642998456955,0.019647179171442986,0.38701924681663513
c3gjvg07,621,implicit,same,0.010781848803162575,0.016824228689074516,0.38485443592071533
py30r48i,621,implicit,same,0.01068022195249796,0.017575789242982864,0.34564733505249023
a2q6shfa,621,implicit,same,0.01078777015209198,0.016323968768119812,0.33896365761756897
ko9g5jo5,621,implicit,same,0.010727678425610065,0.0160645954310894,0.35124656558036804
t32qdkyg,621,implicit,same,0.01071246713399887,0.020103110000491142,0.3729081451892853
