Model,Latent,Location,Baseline-adjusted IIA
Explicit Transformer,Stone map,Bottleneck,0.25142866373062134
Explicit Transformer,Stone map,Last layer,0.60498046875
Explicit Transformer,Stone map,Embedding,0.10901331156492233
Explicit Transformer,Potion map,Bottleneck,0.954394519329071
Explicit Transformer,Potion map,Last layer,-0.04199753701686859
Explicit Transformer,Potion map,Embedding,0.12650816142559052
Explicit Transformer,Graph,Bottleneck,0.8934880495071411
Explicit Transformer,Graph,Last layer,-0.023486517369747162
Explicit Transformer,Graph,Embedding,-0.04380125552415848
Explicit Transformer,Stone map,Bottleneck,0.16896340250968933
Explicit Transformer,Stone map,Last layer,0.6455078125
Explicit Transformer,Stone map,Embedding,0.0501302070915699
Explicit Transformer,Potion map,Bottleneck,0.9796279668807983
Explicit Transformer,Potion map,Last layer,-0.042397525161504745
Explicit Transformer,Potion map,Embedding,0.08992607891559601
Explicit Transformer,Graph,Bottleneck,0.9373651742935181
Explicit Transformer,Graph,Last layer,-0.05873018130660057
Explicit Transformer,Graph,Embedding,-0.04648789018392563
Explicit Transformer,Stone map,Bottleneck,0.1398112028837204
Explicit Transformer,Stone map,Last layer,0.5677626132965088
Explicit Transformer,Stone map,Embedding,0.05797887593507767
Explicit Transformer,Potion map,Bottleneck,0.9289005994796753
Explicit Transformer,Potion map,Last layer,-0.01717722788453102
Explicit Transformer,Potion map,Embedding,0.1347188800573349
Explicit Transformer,Graph,Bottleneck,0.8519458770751953
Explicit Transformer,Graph,Last layer,0.004566837567836046
Explicit Transformer,Graph,Embedding,-0.029704641550779343
Explicit MLP,Stone map,Bottleneck,0.1833224892616272
Explicit MLP,Stone map,Last layer,0.4501410722732544
Explicit MLP,Potion map,Bottleneck,0.7194123268127441
Explicit MLP,Potion map,Last layer,-0.16143067181110382
Explicit MLP,Graph,Bottleneck,0.472568541765213
Explicit MLP,Graph,Last layer,0.0033100578002631664
Explicit MLP,Stone map,Bottleneck,0.1584743857383728
Explicit MLP,Stone map,Last layer,0.4271375834941864
Explicit MLP,Potion map,Bottleneck,0.7207931876182556
Explicit MLP,Potion map,Last layer,-0.14365637302398682
Explicit MLP,Graph,Bottleneck,0.46571213006973267
Explicit MLP,Graph,Last layer,-0.003955493215471506
Explicit MLP,Stone map,Bottleneck,0.16241681575775146
Explicit MLP,Stone map,Last layer,0.40957754850387573
Explicit MLP,Potion map,Bottleneck,0.6378104090690613
Explicit MLP,Potion map,Last layer,-0.12891662120819092
Explicit MLP,Graph,Bottleneck,0.33011168241500854
Explicit MLP,Graph,Last layer,0.0034151007421314716
Implicit,Stone map,Layer 0,0.0166015625
Implicit,Stone map,Layer 1,0.0679253488779068
Implicit,Stone map,Layer 2,0.21068431437015533
Implicit,Stone map,Layer 3,0.40778717398643494
Implicit,Stone map,Layer 4,0.5202184319496155
Implicit,Stone map,Layer 5,0.6180555820465088
Implicit,Stone map,Layer 6,0.6761248707771301
Implicit,Stone map,Layer 7,0.7440140247344971
Implicit,Potion map,Layer 0,0.09183115512132645
Implicit,Potion map,Layer 1,0.036537591367959976
Implicit,Potion map,Layer 2,-0.06459493935108185
Implicit,Potion map,Layer 3,-0.06768907606601715
Implicit,Potion map,Layer 4,-0.07297968864440918
Implicit,Potion map,Layer 5,-0.07995107769966125
Implicit,Potion map,Layer 6,-0.0839238166809082
Implicit,Potion map,Layer 7,-0.09358822554349899
Implicit,Graph,Layer 0,0.001157161663286388
Implicit,Graph,Layer 1,-0.08072958886623383
Implicit,Graph,Layer 2,-0.1110580638051033
Implicit,Graph,Layer 3,-0.08631626516580582
Implicit,Graph,Layer 4,-0.0849994346499443
Implicit,Graph,Layer 5,-0.07426484674215317
Implicit,Graph,Layer 6,-0.07446423918008804
Implicit,Graph,Layer 7,-0.08994768559932709
Implicit,Stone map,Layer 0,0.03381799906492233
Implicit,Stone map,Layer 1,0.08076533675193787
Implicit,Stone map,Layer 2,0.21616391837596893
Implicit,Stone map,Layer 3,0.3897026777267456
Implicit,Stone map,Layer 4,0.5208876132965088
Implicit,Stone map,Layer 5,0.6098090410232544
Implicit,Stone map,Layer 6,0.6790545582771301
Implicit,Stone map,Layer 7,0.7315176725387573
Implicit,Potion map,Layer 0,0.053324807435274124
Implicit,Potion map,Layer 1,-0.005705898627638817
Implicit,Potion map,Layer 2,-0.07815887033939362
Implicit,Potion map,Layer 3,-0.08646876364946365
Implicit,Potion map,Layer 4,-0.09694221615791321
Implicit,Potion map,Layer 5,-0.11057500541210175
Implicit,Potion map,Layer 6,-0.11061331629753113
Implicit,Potion map,Layer 7,-0.10552018880844116
Implicit,Graph,Layer 0,-0.023022932931780815
Implicit,Graph,Layer 1,-0.09944731742143631
Implicit,Graph,Layer 2,-0.13622812926769257
Implicit,Graph,Layer 3,-0.1108197346329689
Implicit,Graph,Layer 4,-0.10803613066673279
Implicit,Graph,Layer 5,-0.10720130801200867
Implicit,Graph,Layer 6,-0.12147606909275055
Implicit,Graph,Layer 7,-0.13638722896575928
Implicit,Stone map,Layer 0,0.031557437032461166
Implicit,Stone map,Layer 1,0.11346209794282913
Implicit,Stone map,Layer 2,0.26960358023643494
Implicit,Stone map,Layer 3,0.46578413248062134
Implicit,Stone map,Layer 4,0.5677806735038757
Implicit,Stone map,Layer 5,0.6512587070465088
Implicit,Stone map,Layer 6,0.7136501669883728
Implicit,Stone map,Layer 7,0.7688078880310059
Implicit,Potion map,Layer 0,0.0016481702914461493
Implicit,Potion map,Layer 1,-0.047891050577163696
Implicit,Potion map,Layer 2,-0.09281155467033386
Implicit,Potion map,Layer 3,-0.09980645775794983
Implicit,Potion map,Layer 4,-0.11992867290973663
Implicit,Potion map,Layer 5,-0.1259845346212387
Implicit,Potion map,Layer 6,-0.12251581996679306
Implicit,Potion map,Layer 7,-0.14118163287639618
Implicit,Graph,Layer 0,-0.03375442326068878
Implicit,Graph,Layer 1,-0.1474912315607071
Implicit,Graph,Layer 2,-0.1779380589723587
Implicit,Graph,Layer 3,-0.18754243850708008
Implicit,Graph,Layer 4,-0.1610410213470459
Implicit,Graph,Layer 5,-0.16506601870059967
Implicit,Graph,Layer 6,-0.15482407808303833
Implicit,Graph,Layer 7,-0.17040608823299408
