run_id,epoch,model,context_style,val/iid_MSE,val/far_MSE,val/wide_MSE
0c5je8km,695,explicit-aux-transformer,near,0.0005817119963467121,0.008294216357171535,0.39740538597106934
rzw2tbti,695,explicit-aux-transformer,near,0.00031045242212712765,0.004640709608793259,0.39235079288482666
vcg325kt,695,explicit-aux-transformer,near,0.0001944709656527266,0.003491943934932351,0.3877619802951813
2rpr6rxg,695,explicit-aux-transformer,near,0.0003525586798787117,0.0046381037682294846,0.3860795497894287
r3tmzkgg,695,explicit-aux-transformer,near,0.000384913117159158,0.004662523977458477,0.4268636703491211
y8s8i2zi,698,explicit-aux-transformer,same,0.00033704531961120665,0.0037907478399574757,0.35999736189842224
hlzepcar,698,explicit-aux-transformer,same,0.00043566766544245183,0.008516947738826275,0.37883150577545166
kq6qxdxn,698,explicit-aux-transformer,same,0.0005187035421840847,0.004830334335565567,0.36436253786087036
9da219u9,698,explicit-aux-transformer,same,0.00016473597497679293,0.0037936053704470396,0.3790830373764038
pwayljyd,698,explicit-aux-transformer,same,0.00024289311841130257,0.0032869132701307535,0.3774912655353546
m0w950ju,929,explicit-known,near,9.803480497794226e-05,0.0003046042693313211,0.0003519391466397792
7fl69p5e,929,explicit-known,near,0.00015623593935742974,0.0008151831571012735,0.0008011135505512357
5vsbcysj,929,explicit-known,near,0.00021826321608386934,0.0006817803368903697,0.0007496070466004312
o8phgqnh,929,explicit-known,near,9.691635932540521e-05,0.0005303394864313304,0.0005126709002070129
naofp1p5,929,explicit-known,near,0.00011273034760961309,0.0005076752859167755,0.0004947889246977866
5eh2aqf7,924,explicit-known,same,0.0003468278155196458,0.002277972875162959,0.0020619253627955914
9pezqfj8,924,explicit-known,same,7.895967428339645e-05,0.00037430328666232526,0.00035388648393563926
genmklxo,924,explicit-known,same,0.00014928544987924397,0.00045430148020386696,0.0004060390347149223
y2zei05o,924,explicit-known,same,0.00017229675722774118,0.0007924533565528691,0.0008389701251871884
w8q7fjms,924,explicit-known,same,9.273183241020888e-05,0.0006128269014880061,0.0005525860469788313
3hgodt1a,859,explicit-mlp,near,0.00033771395101211965,0.0033703020308166742,0.1995266079902649
05zh752a,859,explicit-mlp,near,0.0005421113455668092,0.006788881029933691,0.23365278542041779
ncnf5dlu,859,explicit-mlp,near,0.0005199583247303963,0.003971824888139963,0.1897716224193573
dlkqwzbz,859,explicit-mlp,near,0.00015086967323441058,0.003270890098065138,0.20512837171554565
16os62r9,859,explicit-mlp,near,0.00043795251986011863,0.003927003126591444,0.17216894030570984
7d1eydnx,899,explicit-mlp,same,0.00040937031735666096,0.006050820928066969,0.22942721843719482
pa6qapt9,899,explicit-mlp,same,0.0002321854990441352,0.0022244472056627274,0.18764644861221313
t8kgvmhi,899,explicit-mlp,same,0.00020198666607029736,0.0030845117289572954,0.2060135155916214
l11jteqo,899,explicit-mlp,same,0.00022667241864837706,0.003237063530832529,0.1609497368335724
cgnyn695,899,explicit-mlp,same,0.0005459765670821071,0.004304008558392525,0.18666061758995056
x86rscs5,990,explicit-transformer,near,0.00028380349976941943,0.003895330708473921,0.35884883999824524
q5ay6z2b,990,explicit-transformer,near,0.0003886003396473825,0.004134846851229668,0.41445788741111755
6frx1u9o,990,explicit-transformer,near,0.0002164474135497585,0.003916305024176836,0.3920895755290985
kl6s8m62,990,explicit-transformer,near,0.0003187987604178488,0.003481747582554817,0.3525671064853668
weet9yob,990,explicit-transformer,near,0.0003780692059081048,0.00501731364056468,0.3777313530445099
gsz50yd7,895,explicit-transformer,same,0.0004439839976839721,0.004912428092211485,0.3676006495952606
rys18qoc,895,explicit-transformer,same,0.0004887207760475576,0.0052660200744867325,0.3533737063407898
aqir9125,895,explicit-transformer,same,0.00029005290707573295,0.0029634840320795774,0.37066736817359924
v29oubbn,895,explicit-transformer,same,0.00015145275392569602,0.0035599633120000362,0.3799077868461609
9hpctexu,895,explicit-transformer,same,0.0002498286194168031,0.0027291267178952694,0.36996328830718994
lysuigro,973,implicit,near,0.00018579790776129812,0.005623968318104744,0.35701748728752136
qyw2duwv,973,implicit,near,0.00036699548945762217,0.005166093818843365,0.36990901827812195
7i57209g,973,implicit,near,0.00036017532693222165,0.005110795609652996,0.3477190434932709
3gy3ojqb,973,implicit,near,0.0001852969144238159,0.004161417484283447,0.36906352639198303
yf51oarx,973,implicit,near,0.00010910852870438248,0.005003811325877905,0.38350191712379456
jehhsrgx,786,implicit,same,0.0002176476555177942,0.002961233723908663,0.32418447732925415
fm7oja8r,786,implicit,same,0.000245209492277354,0.00575820030644536,0.32178181409835815
qbb8r86a,786,implicit,same,0.00021312819444574416,0.0019037534948438406,0.2934868633747101
au027625,786,implicit,same,0.00013383729674387723,0.002208051970228553,0.3191753923892975
tsilwr5n,786,implicit,same,0.00013088637206237763,0.003875494236126542,0.31662458181381226
