run_id,epoch,model,context_style,ood_intensity,val/iid_MSE,val/wide_MSE
e2z3hc52,875,explicit-aux-transformer,same,1.0,0.0002994613314513117,0.0002994613314513117
b14sz7p9,875,explicit-aux-transformer,same,1.0,0.0004718898271676153,0.0004718898271676153
m1wg29vf,875,explicit-aux-transformer,same,1.0,0.00022810338123235852,0.00022810338123235852
zy7vm5hx,875,explicit-aux-transformer,same,1.0,0.000703460187651217,0.000703460187651217
al4w5dw1,875,explicit-aux-transformer,same,1.0,0.00039615805144421756,0.00039615805144421756
xlel4wgz,877,explicit-aux-transformer,same,1.5,0.00032857750193215907,0.002823120215907693
suf64scc,877,explicit-aux-transformer,same,1.5,0.00024074163229670376,0.002589509356766939
hjhauhq4,877,explicit-aux-transformer,same,1.5,0.0004675744567066431,0.0027118667494505644
xf4wnvak,877,explicit-aux-transformer,same,1.5,0.00035424556699581444,0.0029363033827394247
f591n3uh,877,explicit-aux-transformer,same,1.5,0.0003016599512193352,0.0025590229779481888
2u1wtwms,948,explicit-aux-transformer,same,2.0,0.00023595111269969493,0.026350412517786026
9mmfq4s4,948,explicit-aux-transformer,same,2.0,0.00046807373291812837,0.026689045131206512
l99brr2y,948,explicit-aux-transformer,same,2.0,0.00019763856835197657,0.025024760514497757
58eb9ca2,948,explicit-aux-transformer,same,2.0,0.0002446305879857391,0.027321379631757736
09kdldu7,948,explicit-aux-transformer,same,2.0,0.0002848356089089066,0.025808658450841904
kn9f2blr,866,explicit-aux-transformer,same,2.5,0.000244585593463853,0.12213792651891708
75aaanxv,866,explicit-aux-transformer,same,2.5,0.0001233849034179002,0.11451345682144165
1a2ebdgo,866,explicit-aux-transformer,same,2.5,0.0003363677824381739,0.11488370597362518
qmqx8e0l,866,explicit-aux-transformer,same,2.5,0.00023651946685276926,0.1259649693965912
1jyj49u1,866,explicit-aux-transformer,same,2.5,0.0005764120141975582,0.11829154938459396
i8yxd16o,615,explicit-known,same,1.0,0.00020542943093460053,0.00020542943093460053
yg6gt3it,615,explicit-known,same,1.0,0.00015569246897939593,0.00015569246897939593
llekddch,615,explicit-known,same,1.0,0.00025705236475914717,0.00025705236475914717
svg4dd97,615,explicit-known,same,1.0,7.489394920412451e-05,7.489394920412451e-05
m4xeeipt,615,explicit-known,same,1.0,0.0003017436247318983,0.0003017436247318983
g1zjl8l8,633,explicit-known,same,1.5,0.00016706620226614177,0.000293815421173349
2mux0vpc,633,explicit-known,same,1.5,0.0001659985864534974,0.0002086049789795652
lleidpj8,633,explicit-known,same,1.5,0.00013278487313073128,0.00022985484974924475
