run_id,epoch,model,context_style,val/iid_w_loss,val/far_w_loss,val/wide_w_loss
0c5je8km,694,explicit-aux-transformer,near,0.0002989979984704405,0.0002369151043239981,0.0002989979984704405
rzw2tbti,694,explicit-aux-transformer,near,0.00021671917056664824,0.00020851589215453714,0.00021671917056664824
vcg325kt,694,explicit-aux-transformer,near,0.00017146070604212582,0.00016354801482520998,0.00017146070604212582
2rpr6rxg,694,explicit-aux-transformer,near,0.0002876282960642129,0.00027085133478976786,0.0002876282960642129
r3tmzkgg,694,explicit-aux-transformer,near,0.00021388163440860808,0.00017977607785724103,0.00021388163440860808
y8s8i2zi,863,explicit-aux-transformer,same,0.0003009286883752793,0.0002446411526761949,0.0003009286883752793
hlzepcar,863,explicit-aux-transformer,same,0.00021840007684659213,0.00021560951427090913,0.00021840007684659213
kq6qxdxn,863,explicit-aux-transformer,same,0.00017756350280251354,0.0001738689315970987,0.00017756350280251354
9da219u9,863,explicit-aux-transformer,same,0.00028904451755806804,0.00025183637626469135,0.00028904451755806804
pwayljyd,863,explicit-aux-transformer,same,0.000169106584507972,0.00016627497097942978,0.000169106584507972
m0w950ju,929,explicit-known,near,0.0001235029922099784,0.00011087164602940902,0.0001235029922099784
7fl69p5e,929,explicit-known,near,0.00019552026060409844,0.0001912131701828912,0.00019552026060409844
5vsbcysj,929,explicit-known,near,0.00022338975395541638,0.0002254164282931015,0.00022338975395541638
naofp1p5,929,explicit-known,near,0.00010857468441827223,0.00011161301517859101,0.00010857468441827223
o8phgqnh,929,explicit-known,near,9.947012586053461e-05,9.73998467088677e-05,9.947012586053461e-05
5eh2aqf7,633,explicit-known,same,0.00015157833695411682,0.00014966663729865104,0.00015157833695411682
9pezqfj8,633,explicit-known,same,0.000154621695401147,0.00016845737991388887,0.000154621695401147
genmklxo,633,explicit-known,same,0.00014508052845485508,0.00013615151692647487,0.00014508052845485508
y2zei05o,633,explicit-known,same,0.00017192773520946503,0.00019557762425392866,0.00017192773520946503
w8q7fjms,633,explicit-known,same,0.00021210462728049606,0.000208096913411282,0.00021210462728049606
3hgodt1a,926,explicit-mlp,near,0.0005433565238490701,0.0005893743946217,0.0005433565238490701
ncnf5dlu,926,explicit-mlp,near,0.0004175968933850527,0.00048591956146992743,0.0004175968933850527
dlkqwzbz,926,explicit-mlp,near,0.0006645013345405459,0.0006422447040677071,0.0006645013345405459
16os62r9,926,explicit-mlp,near,0.0007456615567207336,0.0007330307271331549,0.0007456615567207336
05zh752a,926,explicit-mlp,near,0.00046409820788539946,0.0004983145045116544,0.00046409820788539946
7d1eydnx,926,explicit-mlp,same,0.00042509770719334483,0.00045610807137563825,0.00042509770719334483
pa6qapt9,926,explicit-mlp,same,0.00027166795916855335,0.00028410181403160095,0.00027166795916855335
t8kgvmhi,926,explicit-mlp,same,0.00039995828410610557,0.0004501832590904087,0.00039995828410610557
l11jteqo,926,explicit-mlp,same,0.00033031453494913876,0.00040319206891581416,0.00033031453494913876
cgnyn695,926,explicit-mlp,same,0.00033803758560679853,0.00038811733247712255,0.00033803758560679853
x86rscs5,994,explicit-transformer,near,0.000983530655503273,0.0008730245172046125,0.000983530655503273
6frx1u9o,994,explicit-transformer,near,0.0007854398572817445,0.0006967415101826191,0.0007854398572817445
q5ay6z2b,994,explicit-transformer,near,0.0008397549390792847,0.00079436314990744,0.0008397549390792847
kl6s8m62,994,explicit-transformer,near,0.00105193629860878,0.0008778402116149664,0.00105193629860878
weet9yob,994,explicit-transformer,near,0.0009811425115913153,0.0008083964930847287,0.0009811425115913153
gsz50yd7,893,explicit-transformer,same,0.0011082817800343037,0.0009345411090180278,0.0011082817800343037
rys18qoc,893,explicit-transformer,same,0.001066467259079218,0.0008659558952786028,0.001066467259079218
v29oubbn,893,explicit-transformer,same,0.0008429728914052248,0.000796973705291748,0.0008429728914052248
aqir9125,893,explicit-transformer,same,0.0009144862415269017,0.0007937666377983987,0.0009144862415269017
9hpctexu,893,explicit-transformer,same,0.0008605135953985155,0.0008559913840144873,0.0008605135953985155
