run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
pb5vcvqs,847,explicit-aux-transformer,0.001607010723091662,0.029701005667448044,0.40592849254608154
1jq91rt1,847,explicit-aux-transformer,0.00016748436610214412,0.0032741818577051163,0.49114736914634705
dlpep2y5,847,explicit-aux-transformer,0.0003908575454261154,0.0020621593575924635,0.42162418365478516
3172m1i3,847,explicit-aux-transformer,0.0004213380452711135,0.00811868067830801,0.38504019379615784
ynqfhg92,847,explicit-aux-transformer,0.00025284860748797655,0.006582829635590315,0.4145352840423584
d9rcy8w1,967,explicit-mlp,0.00016624626005068421,0.0012172246351838112,0.1926145702600479
dsbyl1mi,967,explicit-mlp,0.0001729659561533481,0.002695233328267932,0.1875694841146469
2m2230vh,967,explicit-mlp,0.00015794816135894507,0.0007919172057881951,0.15126332640647888
l5tbp9bl,967,explicit-mlp,0.0005295891314744949,0.0033722445368766785,0.1989196240901947
oyrcd6pg,967,explicit-mlp,0.0004912849981337786,0.0044597238302230835,0.20778225362300873
7ycb5qz4,593,explicit-transformer,0.0007141657406464219,0.023226194083690643,0.43605777621269226
0m6bpxr7,593,explicit-transformer,0.0002738663461059332,0.0038148569874465466,0.4784959852695465
h4oks2f2,593,explicit-transformer,0.0006463166791945696,0.004008134827017784,0.39324334263801575
9zix82q7,593,explicit-transformer,0.00039793195901438594,0.009000210091471672,0.41647598147392273
5ljq4pcr,593,explicit-transformer,0.0004468472325243056,0.009535565041005611,0.3750503659248352
