run_id,epoch,model,context_style,val/iid_Accuracy,val/far_Accuracy,val/wide_Accuracy
8zl9r06l,949,explicit-aux-transformer,near,0.9769445061683655,0.9520555734634399,0.943402886390686
1q3sr5lz,949,explicit-aux-transformer,near,0.9805834293365479,0.9597083926200867,0.9531528353691101
xiokr9fb,949,explicit-aux-transformer,near,0.9784722328186035,0.9372777938842773,0.917472243309021
0kzfr20e,949,explicit-aux-transformer,near,0.9802916646003723,0.9453611969947815,0.9255555868148804
p6358erk,949,explicit-aux-transformer,near,0.9726945161819458,0.9490973353385925,0.9435694813728333
drj5nc1e,969,explicit-aux-transformer,same,0.9808611273765564,0.9596666693687439,0.9536250233650208
n2z8n2q3,969,explicit-aux-transformer,same,0.9763334393501282,0.9501528143882751,0.9439723491668701
33pcawg1,969,explicit-aux-transformer,same,0.9782500267028809,0.9359166622161865,0.9193055629730225
e23jq2vv,969,explicit-aux-transformer,same,0.9712361097335815,0.9497083425521851,0.9418473243713379
8ia5a8cx,969,explicit-aux-transformer,same,0.9804167151451111,0.9450556039810181,0.9281111359596252
xefdubx2,990,explicit-known,near,0.9736111164093018,0.9295416474342346,0.8997638821601868
9o3j2a27,990,explicit-known,near,0.9742500185966492,0.95163893699646,0.932472288608551
vikea5pu,990,explicit-known,near,0.9713194966316223,0.9458194971084595,0.9238611459732056
bfi1i1v0,990,explicit-known,near,0.9758195281028748,0.935930609703064,0.8918611407279968
gbvfgp8v,990,explicit-known,near,0.9666944742202759,0.9390000700950623,0.925277829170227
v3xgi1ed,998,explicit-known,same,0.971333384513855,0.9423611164093018,0.9204861521720886
apj0em2n,998,explicit-known,same,0.974208414554596,0.950347363948822,0.9350556135177612
m9iz76pm,998,explicit-known,same,0.9751666784286499,0.9362639784812927,0.8752778172492981
8cl12ui5,998,explicit-known,same,0.9650139808654785,0.9372639060020447,0.9140417575836182
23d8s2di,998,explicit-known,same,0.9717639684677124,0.9248611330986023,0.8772916793823242
oxjso0xm,889,explicit-mlp,near,0.9761110544204712,0.95208340883255,0.9417778253555298
mojj3q18,889,explicit-mlp,near,0.9805694818496704,0.9591389894485474,0.9506667256355286
b7rbuaaq,889,explicit-mlp,near,0.9779722094535828,0.9401528835296631,0.9157083630561829
zztmxds3,889,explicit-mlp,near,0.9803333878517151,0.9440139532089233,0.9221250414848328
rga581t9,889,explicit-mlp,near,0.9718055129051208,0.9479584097862244,0.9381250739097595
p1ehckqu,996,explicit-mlp,same,0.9799861907958984,0.9572638869285583,0.948472261428833
mf3kiiys,996,explicit-mlp,same,0.9761250615119934,0.9504027962684631,0.9403611421585083
1sq2803r,996,explicit-mlp,same,0.9780000448226929,0.9378889799118042,0.9188194870948792
s23s8vwd,996,explicit-mlp,same,0.9790695309638977,0.9433333873748779,0.9261666536331177
lqiufxv8,996,explicit-mlp,same,0.9720972776412964,0.9456529021263123,0.9391667246818542
ij7w9rkf,888,explicit-transformer,near,0.9769861102104187,0.9516944289207458,0.9448889493942261
bsx9lerl,888,explicit-transformer,near,0.9810695052146912,0.9598056077957153,0.9509721994400024
4pof9tsv,888,explicit-transformer,near,0.9793195128440857,0.9379305839538574,0.9176250696182251
xxgbcztc,888,explicit-transformer,near,0.9816250205039978,0.9451389312744141,0.9277500510215759
n170rg19,888,explicit-transformer,near,0.9735139608383179,0.948097288608551,0.9420555830001831
7aprf8t9,908,explicit-transformer,same,0.9779444932937622,0.9514445066452026,0.944194495677948
y9jyswhj,908,explicit-transformer,same,0.9807084202766418,0.9418750405311584,0.9275555610656738
2cm1o0l0,908,explicit-transformer,same,0.9804028868675232,0.958208441734314,0.9527639746665955
z764wzz6,908,explicit-transformer,same,0.9779584407806396,0.9371528029441833,0.9172778129577637
pi32hvsk,908,explicit-transformer,same,0.9728333950042725,0.9485556483268738,0.9426111578941345
dmt0rcen,955,implicit,near,0.983180582523346,0.956291675567627,0.8966805934906006
thbxsyu1,955,implicit,near,0.9782222509384155,0.9290000200271606,0.832236111164093
9kex77w2,955,implicit,near,0.9805000424385071,0.8782778382301331,0.7510694861412048
00rc7jm2,955,implicit,near,0.9811528921127319,0.921916663646698,0.827041745185852
r5yerjtq,955,implicit,near,0.97561115026474,0.9419861435890198,0.8884861469268799
svv3jhwd,833,implicit,same,0.9794583320617676,0.9543889164924622,0.9460694789886475
vjgrovcl,833,implicit,same,0.9761666655540466,0.9515278339385986,0.9451111555099487
9mk4l56x,833,implicit,same,0.9836944341659546,0.947763979434967,0.9297500252723694
vcmq4q2p,833,implicit,same,0.9837778210639954,0.9614028930664062,0.9560834169387817
58bg0brv,833,implicit,same,0.9813055992126465,0.9417361617088318,0.9220694899559021
