run_id,epoch,model,context_style,val/iid_w_loss,val/far_w_loss,val/wide_w_loss
play59tu,982,explicit-known,near,0.5431573390960693,0.5621273517608643,0.5431573390960693
yqleo8g0,982,explicit-known,near,0.5396115779876709,0.5576652884483337,0.5396115779876709
xejd5xz4,982,explicit-known,near,0.6042388677597046,0.619190514087677,0.6042388677597046
u5ipo5am,982,explicit-known,near,0.4899276793003082,0.5186188220977783,0.4899276793003082
bxm6atpi,982,explicit-known,near,0.530870795249939,0.5547688603401184,0.530870795249939
zprq4k1n,998,explicit-known,same,0.5345202088356018,0.5576667189598083,0.5345202088356018
zb5ue3rw,998,explicit-known,same,0.49147674441337585,0.5149161219596863,0.49147674441337585
dfyn0bqv,998,explicit-known,same,0.5339985489845276,0.5457648634910583,0.5339985489845276
4774765f,998,explicit-known,same,0.5860145092010498,0.6075221300125122,0.5860145092010498
k2v8wsqr,998,explicit-known,same,0.5026878714561462,0.5286787748336792,0.5026878714561462
zdpx3de4,995,explicit-mlp,near,0.6046000719070435,0.6253489255905151,0.6046000719070435
8sor60o7,995,explicit-mlp,near,0.5935006737709045,0.6053745746612549,0.5935006737709045
oh3bm2ra,995,explicit-mlp,near,0.5390738248825073,0.5636579990386963,0.5390738248825073
kbl28lym,995,explicit-mlp,near,0.6584851145744324,0.6772518157958984,0.6584851145744324
m5yzu0th,995,explicit-mlp,near,0.5630406737327576,0.5879172086715698,0.5630406737327576
fe9vof6q,983,explicit-mlp,same,0.5924456119537354,0.6020556688308716,0.5924456119537354
q7opi5wb,983,explicit-mlp,same,0.5983317494392395,0.6167861819267273,0.5983317494392395
7wufff6e,983,explicit-mlp,same,0.549488365650177,0.5666022300720215,0.549488365650177
rvac2rj6,983,explicit-mlp,same,0.6445799469947815,0.6609901189804077,0.6445799469947815
5fmeve6p,983,explicit-mlp,same,0.5516750812530518,0.5774686336517334,0.5516750812530518
ak9hwcmx,998,explicit-transformer,near,0.5366934537887573,0.5550267696380615,0.5366934537887573
t6gbdul5,998,explicit-transformer,near,0.5398865342140198,0.5517333745956421,0.5398865342140198
lct1ncku,998,explicit-transformer,near,0.5043895244598389,0.5198878049850464,0.5043895244598389
cyr60zoe,998,explicit-transformer,near,0.5782607197761536,0.5965508818626404,0.5782607197761536
e5c8prc4,998,explicit-transformer,near,0.48502567410469055,0.5119395852088928,0.48502567410469055
fn0p7mp1,991,explicit-transformer,same,0.5307064056396484,0.5501325726509094,0.5307064056396484
tcg4kt6c,991,explicit-transformer,same,0.5357160568237305,0.549248456954956,0.5357160568237305
r9xwny9z,991,explicit-transformer,same,0.48161834478378296,0.5000995993614197,0.48161834478378296
ayxs45tk,991,explicit-transformer,same,0.48719891905784607,0.5102628469467163,0.48719891905784607
ryw3md9t,991,explicit-transformer,same,0.5749209523200989,0.5876299142837524,0.5749209523200989
