run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
ged8p0vn,334,explicit-mlp,1979.787353515625,689.7108764648438,19957.54296875
6n7nv0cr,334,explicit-mlp,2108.369384765625,747.6321411132812,20457.712890625
vum3n202,334,explicit-mlp,1995.315185546875,711.3831176757812,19939.2109375
k6bbnuwf,334,explicit-mlp,1947.809326171875,668.4322509765625,20190.072265625
8hagm6or,334,explicit-mlp,2019.4024658203125,711.7980346679688,20452.966796875
24oex86c,468,explicit-transformer,1612.6414794921875,530.6234741210938,16933.9921875
7wm6eplf,468,explicit-transformer,1668.6253662109375,554.2161254882812,17838.724609375
4m9s4m3h,468,explicit-transformer,1613.0906982421875,488.8777770996094,17876.59765625
x336qys3,468,explicit-transformer,1610.9510498046875,525.4659423828125,16507.3984375
y46xced7,468,explicit-transformer,1606.8275146484375,471.4848327636719,17460.0703125
lraylpgb,3,implicit,2692.155517578125,293.4651794433594,27159.70703125
3hdolmhw,3,implicit,2688.24462890625,300.40155029296875,27128.46875
k9bzfthk,3,implicit,2685.5986328125,285.23968505859375,27142.37109375
mjfka9qg,3,implicit,2688.675537109375,303.0970458984375,27127.943359375
pdc12ncr,3,implicit,2706.467041015625,302.0010070800781,27168.99609375
