run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
kdapxrg5,970.0,implicit,1536.962646484375,281.6661071777344,15287.9091796875
gt6sku04,940.0,implicit,1521.7017822265625,255.62539672851562,15467.10546875
zppqrbun,865.0,implicit,1523.3544921875,263.6546325683594,15539.072265625
zi9c8x1r,921.0,implicit,1526.4783935546875,238.94322204589844,15267.822265625
8bm6gfxe,948.0,implicit,1518.2724609375,273.9416809082031,15496.3896484375
wwtjexr5,986.0,implicit,1693.935302734375,513.9700927734375,18415.080078125
ifkjwt8w,327.0,implicit,1595.5340576171875,336.3057861328125,18462.07421875
3bcvja30,948.0,explicit-transformer,1779.083251953125,330.1413269042969,18750.12109375
r5v8z9iu,999.0,explicit-transformer,1580.6175537109375,291.1129455566406,16905.734375
chnedujv,999.0,explicit-transformer,1577.979736328125,335.32684326171875,17382.990234375
5xqtko5r,252.0,explicit-transformer,2244.92724609375,460.63446044921875,23071.0546875
iq1acycp,993.0,explicit-transformer,1579.4910888671875,284.42822265625,16616.369140625
evvaqqh8,999.0,explicit-mlp,1764.41650390625,413.7108154296875,20382.376953125
sf48l113,737.0,explicit-mlp,2064.780517578125,514.0046997070312,22078.087890625
pp61wu1r,995.0,explicit-mlp,1682.2850341796875,399.19744873046875,19032.3671875
kwv2tvfe,997.0,explicit-mlp,1692.1302490234375,418.2451477050781,20207.728515625
x40tbpb7,999.0,explicit-mlp,1714.1966552734375,374.4390563964844,19851.748046875
