run_id,epoch,model,context_style,ood_intensity,val/iid_MSE,val/wide_MSE
ykz6cdbu,969,explicit-aux-transformer,same,1.0,0.0010211599292233586,0.0010211599292233586
huwugvuj,969,explicit-aux-transformer,same,1.0,0.00041640218114480376,0.00041640218114480376
h1fstu4s,969,explicit-aux-transformer,same,1.0,0.0005662537878379226,0.0005662537878379226
50z8uita,969,explicit-aux-transformer,same,1.0,0.0006530039245262742,0.0006530039245262742
iiubaiqt,969,explicit-aux-transformer,same,1.0,0.000608630187343806,0.000608630187343806
b47m9q2y,969,explicit-aux-transformer,same,1.5,0.0003612456494010985,0.006661516614258289
j7wbiy11,969,explicit-aux-transformer,same,1.5,0.00041640218114480376,0.006116501986980438
90j2jemi,969,explicit-aux-transformer,same,1.5,0.0004382200713735074,0.0047573368065059185
o1maxva8,969,explicit-aux-transformer,same,1.5,0.0010429841931909323,0.006665627006441355
vfsx7ajj,969,explicit-aux-transformer,same,1.5,0.0006401925929822028,0.007028107065707445
b657mv80,969,explicit-aux-transformer,same,2.0,0.0003612456494010985,0.04072447866201401
m0y5k64e,969,explicit-aux-transformer,same,2.0,0.00041640218114480376,0.037572942674160004
dg5quv8n,969,explicit-aux-transformer,same,2.0,0.0005662537878379226,0.03499962016940117
ufhgff3y,969,explicit-aux-transformer,same,2.0,0.0006530039245262742,0.032821886241436005
xfl36ro8,969,explicit-aux-transformer,same,2.0,0.0006494357949122787,0.04066718369722366
ak76wn8u,969,explicit-aux-transformer,same,2.5,0.0003612456494010985,0.11001686751842499
6v04w89y,969,explicit-aux-transformer,same,2.5,0.00041640218114480376,0.10105730593204498
ssbvu740,969,explicit-aux-transformer,same,2.5,0.0005662537878379226,0.09433041512966156
uilba7ao,969,explicit-aux-transformer,same,2.5,0.0006530039245262742,0.08683168888092041
9lxtb77q,969,explicit-aux-transformer,same,2.5,0.0008701223414391279,0.1124320775270462
7aoslxmx,966,explicit-known,same,1.0,0.00043898046715185046,0.00043898046715185046
6nleythl,966,explicit-known,same,1.0,0.0002817694330587983,0.0002817694330587983
qmig74cu,966,explicit-known,same,1.0,0.0003188579867128283,0.0003188579867128283
hoxohkhv,966,explicit-known,same,1.0,0.0003879877331200987,0.0003879877331200987
gn4gdndy,971,explicit-known,same,1.5,0.0005667023942805827,0.0010010384721681476
qbk1orve,971,explicit-known,same,1.5,0.00019398820586502552,0.0003194717282894999
vj7wta0z,971,explicit-known,same,1.5,0.00033875819644890726,0.0005388800636865199
kpebi4uf,971,explicit-known,same,1.5,0.0004130778252147138,0.0006815465167164803
1fr1s2q8,971,explicit-known,same,1.5,0.0003175068413838744,0.0005266221123747528
jelzmifi,969,explicit-known,same,2.0,0.000361165264621377,0.000830746372230351
sjw7g0fm,969,explicit-known,same,2.0,0.0003039639559574425,0.0007755777915008366
bkwie79m,969,explicit-known,same,2.0,0.0006113342242315412,0.0012178841279819608
7i723viq,969,explicit-known,same,2.0,0.000284514477243647,0.0007307437481358647
4igtcsmm,969,explicit-known,same,2.0,0.0003106517833657563,0.0007060481002554297
3am1hh1v,966,explicit-known,same,2.5,0.00043898046715185046,0.0010601128451526165
pxqbuwla,966,explicit-known,same,2.5,0.00028031200054101646,0.0008206803468056023
atpye4u6,966,explicit-known,same,2.5,0.00033690250711515546,0.000977450399659574
bpoz4nmw,966,explicit-known,same,2.5,0.0003879877331200987,0.0013486896641552448
r0lon7ff,966,explicit-known,same,2.5,0.0003609618579503149,0.0009500029846094549
d5mbqzx6,989,explicit-mlp,same,1.0,0.000992518849670887,0.000992518849670887
amy3s652,989,explicit-mlp,same,1.0,0.0009642105433158576,0.0009642105433158576
2v6hpbxq,989,explicit-mlp,same,1.0,0.0009152243146672845,0.0009152243146672845
d6a94j85,989,explicit-mlp,same,1.0,0.001610416453331709,0.001610416453331709
gflzr4oj,989,explicit-mlp,same,1.0,0.0012169594410806894,0.0012169594410806894
8jfrvjh7,989,explicit-mlp,same,1.5,0.0009709680452942848,0.012395983561873436
5f338i4t,989,explicit-mlp,same,1.5,0.0009642105433158576,0.012755068019032478
kknf49b3,989,explicit-mlp,same,1.5,0.0009327243315055966,0.013948934152722359
