run_id,epoch,model,context_style,val/iid_w_loss,val/far_w_loss,val/wide_w_loss
bd23b24c,969,explicit-aux-transformer,near,0.0005230066599324346,0.0005302192294038832,0.0005230066599324346
jptygxlg,969,explicit-aux-transformer,near,0.0006959973252378404,0.0006731718312948942,0.0006959973252378404
exzx1ii2,969,explicit-aux-transformer,near,0.000703181722201407,0.0007731819059699774,0.000703181722201407
8d2pp0nf,969,explicit-aux-transformer,near,0.0005372472805902362,0.0005349816638045013,0.0005372472805902362
m2l2fby7,969,explicit-aux-transformer,near,0.0007132453611120582,0.0007203922141343355,0.0007132453611120582
3x3245wq,989,explicit-aux-transformer,same,0.0008767588878981769,0.0008462770492769778,0.0008767588878981769
s5bk50d0,989,explicit-aux-transformer,same,0.0005480439867824316,0.0005382265080697834,0.0005480439867824316
nuensjqy,989,explicit-aux-transformer,same,0.0005062929121777415,0.0005620986339636147,0.0005062929121777415
5ih3r39s,989,explicit-aux-transformer,same,0.001166628790087998,0.0010369799565523863,0.001166628790087998
z8eflaer,989,explicit-aux-transformer,same,0.0005510571645572782,0.0005388323334045708,0.0005510571645572782
sp1ewgvh,968,explicit-known,near,0.000888640177436173,0.0008675898425281048,0.000888640177436173
zjx35qrj,968,explicit-known,near,0.0010005109943449497,0.0009978271555155516,0.0010005109943449497
wdhfr0kq,968,explicit-known,near,0.0012804495636373758,0.001314382185228169,0.0012804495636373758
jgt76az6,968,explicit-known,near,0.0012510214000940323,0.0012205314124003053,0.0012510214000940323
f1p314j3,968,explicit-known,near,0.000856098486110568,0.0009031280060298741,0.000856098486110568
4ss1iqcy,998,explicit-known,same,0.0018482980085536838,0.0017380837816745043,0.0018482980085536838
rj8uif0r,998,explicit-known,same,0.0009448713972233236,0.0009179831249639392,0.0009448713972233236
risu2qfm,998,explicit-known,same,0.001360068330541253,0.0013010379625484347,0.001360068330541253
ckv046nm,998,explicit-known,same,0.0008566621108911932,0.0008750231936573982,0.0008566621108911932
d6312lk9,998,explicit-known,same,0.0008902368717826903,0.0008894251077435911,0.0008902368717826903
isc8wzv6,990,explicit-mlp,near,0.002828554715961218,0.0029944649431854486,0.002828554715961218
5jsvvciu,990,explicit-mlp,near,0.004946024622768164,0.005331680178642273,0.004946024622768164
qyvjcjoy,990,explicit-mlp,near,0.0023717882577329874,0.0025512815918773413,0.0023717882577329874
1rfdsq70,990,explicit-mlp,near,0.002924260450527072,0.0032296888530254364,0.002924260450527072
cv9gyvpk,990,explicit-mlp,near,0.0055208052508533,0.005729181692004204,0.0055208052508533
kznpcei0,981,explicit-mlp,same,0.00504726730287075,0.004995556548237801,0.00504726730287075
m7jepbsj,981,explicit-mlp,same,0.0021689559798687696,0.0021680069621652365,0.0021689559798687696
18bfbyoo,981,explicit-mlp,same,0.004653263837099075,0.005114398896694183,0.004653263837099075
qvr9twqn,981,explicit-mlp,same,0.004006470087915659,0.0044609433971345425,0.004006470087915659
xhokbrjk,981,explicit-mlp,same,0.0041051218286156654,0.004175447393208742,0.0041051218286156654
e1auqtqp,984,explicit-transformer,near,0.002297582570463419,0.002522714203223586,0.002297582570463419
bisdwi2x,984,explicit-transformer,near,0.0031589316204190254,0.0032488505821675062,0.0031589316204190254
bxo0ew0s,984,explicit-transformer,near,0.0025764729361981153,0.0027432579081505537,0.0025764729361981153
94u2yav3,984,explicit-transformer,near,0.0027028394397348166,0.0029496809002012014,0.0027028394397348166
0tz4cuju,984,explicit-transformer,near,0.0026358994655311108,0.0026119183748960495,0.0026358994655311108
355djb8b,930,explicit-transformer,same,0.0021323368418961763,0.002224408555775881,0.0021323368418961763
v05jo6g3,930,explicit-transformer,same,0.00232626567594707,0.0023978129029273987,0.00232626567594707
xucvl1mq,930,explicit-transformer,same,0.0028812605887651443,0.003088626079261303,0.0028812605887651443
8g927opc,930,explicit-transformer,same,0.0026717123109847307,0.0027948995120823383,0.0026717123109847307
wfrbmi86,930,explicit-transformer,same,0.00257035787217319,0.0024481662549078465,0.00257035787217319
