,Model,Run,Latent,Location,Baseline-adjusted IIA
0,Explicit Transformer,0,Stone map,Bottleneck,0.25142866373062134
1,Explicit Transformer,0,Stone map,Last layer,0.60498046875
2,Explicit Transformer,0,Stone map,Embedding,0.10901331156492233
3,Explicit Transformer,0,Potion map,Bottleneck,0.954394519329071
4,Explicit Transformer,0,Potion map,Last layer,-0.04199753701686859
5,Explicit Transformer,0,Potion map,Embedding,0.12650816142559052
6,Explicit Transformer,0,Graph,Bottleneck,0.8934880495071411
7,Explicit Transformer,0,Graph,Last layer,-0.023486517369747162
8,Explicit Transformer,0,Graph,Embedding,-0.04380125552415848
9,Explicit Transformer,1,Stone map,Bottleneck,0.16896340250968933
10,Explicit Transformer,1,Stone map,Last layer,0.6455078125
11,Explicit Transformer,1,Stone map,Embedding,0.0501302070915699
12,Explicit Transformer,1,Potion map,Bottleneck,0.9796279668807983
13,Explicit Transformer,1,Potion map,Last layer,-0.042397525161504745
14,Explicit Transformer,1,Potion map,Embedding,0.08992607891559601
15,Explicit Transformer,1,Graph,Bottleneck,0.9373651742935181
16,Explicit Transformer,1,Graph,Last layer,-0.05873018130660057
17,Explicit Transformer,1,Graph,Embedding,-0.04648789018392563
18,Explicit Transformer,2,Stone map,Bottleneck,0.1398112028837204
19,Explicit Transformer,2,Stone map,Last layer,0.5677626132965088
20,Explicit Transformer,2,Stone map,Embedding,0.05797887593507767
21,Explicit Transformer,2,Potion map,Bottleneck,0.9289005994796753
22,Explicit Transformer,2,Potion map,Last layer,-0.01717722788453102
23,Explicit Transformer,2,Potion map,Embedding,0.1347188800573349
24,Explicit Transformer,2,Graph,Bottleneck,0.8519458770751953
25,Explicit Transformer,2,Graph,Last layer,0.004566837567836046
26,Explicit Transformer,2,Graph,Embedding,-0.029704641550779343
0,Explicit MLP,0,Stone map,Bottleneck,0.1833224892616272
1,Explicit MLP,0,Stone map,Last layer,0.4501410722732544
2,Explicit MLP,0,Potion map,Bottleneck,0.7194123268127441
3,Explicit MLP,0,Potion map,Last layer,-0.16143067181110382
4,Explicit MLP,0,Graph,Bottleneck,0.472568541765213
5,Explicit MLP,0,Graph,Last layer,0.0033100578002631664
6,Explicit MLP,1,Stone map,Bottleneck,0.1584743857383728
7,Explicit MLP,1,Stone map,Last layer,0.4271375834941864
8,Explicit MLP,1,Potion map,Bottleneck,0.7207931876182556
9,Explicit MLP,1,Potion map,Last layer,-0.14365637302398682
10,Explicit MLP,1,Graph,Bottleneck,0.46571213006973267
11,Explicit MLP,1,Graph,Last layer,-0.003955493215471506
12,Explicit MLP,2,Stone map,Bottleneck,0.16241681575775146
13,Explicit MLP,2,Stone map,Last layer,0.40957754850387573
14,Explicit MLP,2,Potion map,Bottleneck,0.6378104090690613
15,Explicit MLP,2,Potion map,Last layer,-0.12891662120819092
16,Explicit MLP,2,Graph,Bottleneck,0.33011168241500854
17,Explicit MLP,2,Graph,Last layer,0.0034151007421314716
0,Implicit,0,Stone map,Layer 0,0.0166015625
1,Implicit,0,Stone map,Layer 1,0.0679253488779068
2,Implicit,0,Stone map,Layer 2,0.21068431437015533
3,Implicit,0,Stone map,Layer 3,0.40778717398643494
4,Implicit,0,Stone map,Layer 4,0.5202184319496155
5,Implicit,0,Stone map,Layer 5,0.6180555820465088
6,Implicit,0,Stone map,Layer 6,0.6761248707771301
7,Implicit,0,Stone map,Layer 7,0.7440140247344971
8,Implicit,0,Potion map,Layer 0,0.09183115512132645
9,Implicit,0,Potion map,Layer 1,0.036537591367959976
10,Implicit,0,Potion map,Layer 2,-0.06459493935108185
11,Implicit,0,Potion map,Layer 3,-0.06768907606601715
12,Implicit,0,Potion map,Layer 4,-0.07297968864440918
13,Implicit,0,Potion map,Layer 5,-0.07995107769966125
14,Implicit,0,Potion map,Layer 6,-0.0839238166809082
15,Implicit,0,Potion map,Layer 7,-0.09358822554349899
16,Implicit,0,Graph,Layer 0,0.001157161663286388
17,Implicit,0,Graph,Layer 1,-0.08072958886623383
18,Implicit,0,Graph,Layer 2,-0.1110580638051033
19,Implicit,0,Graph,Layer 3,-0.08631626516580582
20,Implicit,0,Graph,Layer 4,-0.0849994346499443
21,Implicit,0,Graph,Layer 5,-0.07426484674215317
22,Implicit,0,Graph,Layer 6,-0.07446423918008804
23,Implicit,0,Graph,Layer 7,-0.08994768559932709
24,Implicit,1,Stone map,Layer 0,0.03381799906492233
25,Implicit,1,Stone map,Layer 1,0.08076533675193787
26,Implicit,1,Stone map,Layer 2,0.21616391837596893
27,Implicit,1,Stone map,Layer 3,0.3897026777267456
28,Implicit,1,Stone map,Layer 4,0.5208876132965088
29,Implicit,1,Stone map,Layer 5,0.6098090410232544
30,Implicit,1,Stone map,Layer 6,0.6790545582771301
31,Implicit,1,Stone map,Layer 7,0.7315176725387573
32,Implicit,1,Potion map,Layer 0,0.053324807435274124
33,Implicit,1,Potion map,Layer 1,-0.005705898627638817
34,Implicit,1,Potion map,Layer 2,-0.07815887033939362
35,Implicit,1,Potion map,Layer 3,-0.08646876364946365
36,Implicit,1,Potion map,Layer 4,-0.09694221615791321
37,Implicit,1,Potion map,Layer 5,-0.11057500541210175
38,Implicit,1,Potion map,Layer 6,-0.11061331629753113
39,Implicit,1,Potion map,Layer 7,-0.10552018880844116
40,Implicit,1,Graph,Layer 0,-0.023022932931780815
41,Implicit,1,Graph,Layer 1,-0.09944731742143631
42,Implicit,1,Graph,Layer 2,-0.13622812926769257
43,Implicit,1,Graph,Layer 3,-0.1108197346329689
44,Implicit,1,Graph,Layer 4,-0.10803613066673279
45,Implicit,1,Graph,Layer 5,-0.10720130801200867
46,Implicit,1,Graph,Layer 6,-0.12147606909275055
47,Implicit,1,Graph,Layer 7,-0.13638722896575928
48,Implicit,2,Stone map,Layer 0,0.031557437032461166
49,Implicit,2,Stone map,Layer 1,0.11346209794282913
50,Implicit,2,Stone map,Layer 2,0.26960358023643494
51,Implicit,2,Stone map,Layer 3,0.46578413248062134
52,Implicit,2,Stone map,Layer 4,0.5677806735038757
53,Implicit,2,Stone map,Layer 5,0.6512587070465088
54,Implicit,2,Stone map,Layer 6,0.7136501669883728
55,Implicit,2,Stone map,Layer 7,0.7688078880310059
56,Implicit,2,Potion map,Layer 0,0.0016481702914461493
57,Implicit,2,Potion map,Layer 1,-0.047891050577163696
58,Implicit,2,Potion map,Layer 2,-0.09281155467033386
59,Implicit,2,Potion map,Layer 3,-0.09980645775794983
60,Implicit,2,Potion map,Layer 4,-0.11992867290973663
61,Implicit,2,Potion map,Layer 5,-0.1259845346212387
62,Implicit,2,Potion map,Layer 6,-0.12251581996679306
63,Implicit,2,Potion map,Layer 7,-0.14118163287639618
64,Implicit,2,Graph,Layer 0,-0.03375442326068878
65,Implicit,2,Graph,Layer 1,-0.1474912315607071
66,Implicit,2,Graph,Layer 2,-0.1779380589723587
67,Implicit,2,Graph,Layer 3,-0.18754243850708008
68,Implicit,2,Graph,Layer 4,-0.1610410213470459
69,Implicit,2,Graph,Layer 5,-0.16506601870059967
70,Implicit,2,Graph,Layer 6,-0.15482407808303833
71,Implicit,2,Graph,Layer 7,-0.17040608823299408
