run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
0nlt9qqu,989,explicit-mlp,0.048165202140808105,0.5203976035118103,0.6999213099479675
cbhspqdk,989,explicit-mlp,0.047300610691308975,0.49282991886138916,0.3390022814273834
w3ab28ts,989,explicit-mlp,0.03994229435920715,0.4730924665927887,0.2962541878223419
l9romni7,989,explicit-mlp,0.03577340394258499,0.4590924084186554,0.28113803267478943
amz4spn9,989,explicit-mlp,0.05370224267244339,0.47204840183258057,0.46062955260276794
4oct3th7,989,explicit-mlp,0.05287037044763565,0.48185622692108154,0.35199859738349915
xkhaexar,989,explicit-mlp,0.04256169870495796,0.483949214220047,0.4061393141746521
hfvu0td2,989,explicit-mlp,0.04122116416692734,0.4461907148361206,0.26550644636154175
mdzkyfed,989,explicit-mlp,0.0361979715526104,0.46848535537719727,0.29548782110214233
oqas37yo,989,explicit-mlp,0.057306330651044846,0.45666635036468506,0.40741705894470215
zpo5hcqm,980,explicit-transformer,0.035462044179439545,0.3866928219795227,0.2214881181716919
ngmsf501,980,explicit-transformer,0.03569154068827629,0.4281139671802521,0.24896731972694397
1gctn0ji,980,explicit-transformer,0.025757906958460808,0.44542333483695984,0.2817187011241913
dmico7k4,980,explicit-transformer,0.027861829847097397,0.3829003572463989,0.22413422167301178
4vt6kcte,980,explicit-transformer,0.037538107484579086,0.41013288497924805,0.22733551263809204
3rdeth46,980,explicit-transformer,0.03803463280200958,0.43099457025527954,0.24510779976844788
xysdnn9y,980,explicit-transformer,0.036214035004377365,0.4170544147491455,0.2498355656862259
w3ji9b2c,980,explicit-transformer,0.0271122045814991,0.40488240122795105,0.22855126857757568
dvb23zp0,980,explicit-transformer,0.028570085763931274,0.4232589900493622,0.23883073031902313
jjsl9ac3,980,explicit-transformer,0.027552729472517967,0.4139223098754883,0.23815464973449707
d3rdv82l,985,implicit,0.01639564149081707,0.38319146633148193,0.19800551235675812
p4ubvfpv,985,implicit,0.016730159521102905,0.37634944915771484,0.20068666338920593
8lguafg4,985,implicit,0.01192010659724474,0.38046273589134216,0.1945320963859558
gtydcsbw,985,implicit,0.011487115174531937,0.3541068732738495,0.17832475900650024
wia6dyjf,985,implicit,0.016251523047685623,0.3768371641635895,0.18518052995204926
g7c7wd5l,985,implicit,0.016637688502669334,0.39967405796051025,0.2157791554927826
nf4oxv5p,985,implicit,0.016845330595970154,0.42720064520835876,0.2385144829750061
0hbvert9,985,implicit,0.011857527308166027,0.382441908121109,0.19074365496635437
0pzmg20g,985,implicit,0.011629234999418259,0.39373406767845154,0.2204117625951767
sr9xtl24,985,implicit,0.01216196920722723,0.41461053490638733,0.21526503562927246
