run_id,epoch,model,val/Accuracy/dataloader_idx_0,val/Accuracy/dataloader_idx_1,val/Accuracy/dataloader_idx_2
bszu1s39,988,explicit-mlp,0.9682917594909668,0.9445971846580505,0.9357084035873413
ko8n8xk3,988,explicit-mlp,0.9671250581741333,0.943819522857666,0.9327778220176697
hnqxipdb,988,explicit-mlp,0.9661527872085571,0.9425416588783264,0.9338611364364624
1zpqettu,988,explicit-mlp,0.9672222137451172,0.9448472261428833,0.9342917203903198
ybls6d7t,988,explicit-mlp,0.9667084217071533,0.944444477558136,0.9351667165756226
d4vo7uz3,992,explicit-transformer,0.9687222242355347,0.9442222714424133,0.9357223510742188
36sc040d,992,explicit-transformer,0.9694028496742249,0.9449166655540466,0.9361111521720886
3jtm7pep,992,explicit-transformer,0.9688611626625061,0.9445417523384094,0.9353055953979492
ly745180,992,explicit-transformer,0.9688334465026855,0.9467083811759949,0.9377917051315308
u2to1zg2,992,explicit-transformer,0.9677639603614807,0.9447917342185974,0.9349167346954346
5j8frhk0,661,implicit,0.9730695486068726,0.9501528143882751,0.9418056011199951
aioidwss,661,implicit,0.9727916717529297,0.9498055577278137,0.9413750171661377
sk1ewjl1,661,implicit,0.9728195071220398,0.950347363948822,0.9412917494773865
8z7omwpb,661,implicit,0.9736111164093018,0.9504722952842712,0.9420000314712524
6t7wvh09,661,implicit,0.972986102104187,0.9490694999694824,0.940291702747345
