run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
2z7w2zbl,334.0,explicit-mlp,1947.809326171875,668.4322509765625,20190.072265625
pgm0oavv,334.0,explicit-mlp,1998.6207275390625,640.7681274414062,19963.826171875
x101pqcf,334.0,explicit-mlp,1995.315185546875,711.3831176757812,19939.2109375
mnakmhlx,334.0,explicit-mlp,2112.879638671875,753.1134643554688,20464.32421875
vckudva9,334.0,explicit-mlp,2073.15771484375,745.2425537109375,20578.38671875
slxr7qgu,468.0,explicit-transformer,1610.9510498046875,525.4659423828125,16507.3984375
fulbjtu2,468.0,explicit-transformer,1664.0826416015625,538.3756713867188,17836.294921875
6u5mf0xy,468.0,explicit-transformer,1613.0906982421875,488.8777770996094,17876.59765625
9u6uy6er,468.0,explicit-transformer,1610.7930908203125,548.6764526367188,17229.91015625
vzc244kf,468.0,explicit-transformer,1606.8275146484375,471.4848327636719,17460.0703125
