epoch,val_iid/accuracy,val_ood/accuracy,model
829,0.9992172718048096,0.999252200126648,explicit-known
829,0.9966675043106079,0.9966667890548706,explicit-known
829,0.9875177145004272,0.9876409769058228,explicit-known
829,0.9945484399795532,0.9944393038749695,explicit-known
829,0.9889438152313232,0.9890941381454468,explicit-known
791,0.9843974709510803,0.9846220016479492,explicit-mlp
791,0.9707136154174805,0.9704385995864868,explicit-mlp
791,0.9858009815216064,0.9853041172027588,explicit-mlp
791,0.9833905100822449,0.9834057688713074,explicit-mlp
791,0.9723760485649109,0.9724354147911072,explicit-mlp
956,0.9840273261070251,0.9840015172958374,explicit-transformer
956,0.9841005206108093,0.9839825630187988,explicit-transformer
956,0.9805014133453369,0.9801014065742493,explicit-transformer
956,0.9849046468734741,0.9846041202545166,explicit-transformer
956,0.9871532917022705,0.9865928888320923,explicit-transformer
608,0.9805233478546143,0.9804593324661255,implicit
608,0.9710459113121033,0.9713943600654602,implicit
608,0.9783388376235962,0.9783229827880859,implicit
608,0.9802745580673218,0.9801598787307739,implicit
608,0.9822289943695068,0.9822591543197632,implicit
