run_id,epoch,model,context_style,kind_kwargs,val/iid_MSE,val/far_MSE,val/wide_MSE
vorgctt2,983,explicit-known,near,"{'fixed_freq': False, 'n_freq': 3}",0.008437766693532467,0.310996413230896,0.20929600298404694
2meig8bz,983,explicit-known,near,"{'fixed_freq': False, 'n_freq': 3}",0.009074663743376732,0.32581016421318054,0.2083648294210434
93iuj571,983,explicit-known,near,"{'fixed_freq': False, 'n_freq': 3}",0.007681415881961584,0.2839844822883606,0.2084731161594391
2rfvaytv,983,explicit-known,near,"{'fixed_freq': False, 'n_freq': 3}",0.008040270768105984,0.27150753140449524,0.19254636764526367
7lva4173,983,explicit-known,near,"{'fixed_freq': False, 'n_freq': 3}",0.007333602290600538,0.28244781494140625,0.1939781904220581
9g6ffk8g,972,explicit-known,near,"{'fixed_freq': True, 'n_freq': 10}",0.012344686314463615,0.48509928584098816,0.3764720857143402
ih36efvd,972,explicit-known,near,"{'fixed_freq': True, 'n_freq': 10}",0.009424399584531784,0.43795153498649597,0.3245839476585388
g0dtunkt,972,explicit-known,near,"{'fixed_freq': True, 'n_freq': 10}",0.011171664111316204,0.42575156688690186,0.35721108317375183
qxlt0u3c,972,explicit-known,near,"{'fixed_freq': True, 'n_freq': 10}",0.012783508747816086,0.4893077313899994,0.38786008954048157
rhpbfh57,972,explicit-known,near,"{'fixed_freq': True, 'n_freq': 10}",0.011273005977272987,0.4573846161365509,0.37349918484687805
sp1ewgvh,989,explicit-known,near,"{'fixed_freq': True, 'n_freq': 3}",0.0003632069274317473,0.0011526377638801932,0.0010092449374496937
zjx35qrj,989,explicit-known,near,"{'fixed_freq': True, 'n_freq': 3}",0.0002677914744708687,0.0006087703513912857,0.0009067425271496177
jgt76az6,989,explicit-known,near,"{'fixed_freq': True, 'n_freq': 3}",0.0004774723493028432,0.0013803626643493772,0.0014821258373558521
f1p314j3,989,explicit-known,near,"{'fixed_freq': True, 'n_freq': 3}",0.00036428318708203733,0.0008958917460404336,0.0011313805589452386
wdhfr0kq,989,explicit-known,near,"{'fixed_freq': True, 'n_freq': 3}",0.00024719323846511543,0.0006319882231764495,0.0007006722153164446
p1wx2soj,967,explicit-known,same,"{'fixed_freq': False, 'n_freq': 3}",0.008358732797205448,0.2684243321418762,0.1993047147989273
obcw2m25,967,explicit-known,same,"{'fixed_freq': False, 'n_freq': 3}",0.008007110096514225,0.2674928307533264,0.19215673208236694
q4xtfkuw,967,explicit-known,same,"{'fixed_freq': False, 'n_freq': 3}",0.0073889391496777534,0.28818559646606445,0.19993717968463898
4taultqr,967,explicit-known,same,"{'fixed_freq': False, 'n_freq': 3}",0.007000046782195568,0.251087486743927,0.18854059278964996
cez0k7fk,967,explicit-known,same,"{'fixed_freq': False, 'n_freq': 3}",0.007830505259335041,0.29121333360671997,0.19037747383117676
n315crd1,969,explicit-known,same,"{'fixed_freq': True, 'n_freq': 10}",0.010257157497107983,0.38662731647491455,0.2889358103275299
ji9k50xu,969,explicit-known,same,"{'fixed_freq': True, 'n_freq': 10}",0.009685909375548363,0.38723012804985046,0.27646830677986145
9lq056zw,969,explicit-known,same,"{'fixed_freq': True, 'n_freq': 10}",0.010663730092346668,0.39451783895492554,0.2717824876308441
nq68rgiu,969,explicit-known,same,"{'fixed_freq': True, 'n_freq': 10}",0.00974597129970789,0.380062073469162,0.2709988057613373
lxu40bha,969,explicit-known,same,"{'fixed_freq': True, 'n_freq': 10}",0.011614800430834293,0.3799440562725067,0.2746291160583496
4ss1iqcy,966,explicit-known,same,"{'fixed_freq': True, 'n_freq': 3}",0.0002817694330587983,0.0006382047431543469,0.0009129149257205427
rj8uif0r,966,explicit-known,same,"{'fixed_freq': True, 'n_freq': 3}",0.00033690250711515546,0.0008783480152487755,0.001101663219742477
risu2qfm,966,explicit-known,same,"{'fixed_freq': True, 'n_freq': 3}",0.00029655706021003425,0.0007899364572949708,0.0009593276190571487
ckv046nm,966,explicit-known,same,"{'fixed_freq': True, 'n_freq': 3}",0.0004636999510694295,0.0013687571045011282,0.00148573808837682
d6312lk9,966,explicit-known,same,"{'fixed_freq': True, 'n_freq': 3}",0.0003542739723343402,0.001283914316445589,0.001303264987654984
isc8wzv6,989,explicit-mlp,near,"{'fixed_freq': True, 'n_freq': 3}",0.0026140455156564713,0.09533828496932983,0.20924051105976105
5jsvvciu,989,explicit-mlp,near,"{'fixed_freq': True, 'n_freq': 3}",0.002175226341933012,0.05364110693335533,0.560777485370636
qyvjcjoy,989,explicit-mlp,near,"{'fixed_freq': True, 'n_freq': 3}",0.0013008833630010486,0.05741898715496063,0.4395671784877777
1rfdsq70,989,explicit-mlp,near,"{'fixed_freq': True, 'n_freq': 3}",0.0014811706496402621,0.03583383187651634,0.2613846957683563
cv9gyvpk,989,explicit-mlp,near,"{'fixed_freq': True, 'n_freq': 3}",0.0019416356226429343,0.046350833028554916,0.38166680932044983
kznpcei0,983,explicit-mlp,same,"{'fixed_freq': True, 'n_freq': 3}",0.0018712531309574842,0.017142510041594505,0.2880097031593323
m7jepbsj,983,explicit-mlp,same,"{'fixed_freq': True, 'n_freq': 3}",0.0012560549657791853,0.0385335236787796,0.4531400203704834
18bfbyoo,983,explicit-mlp,same,"{'fixed_freq': True, 'n_freq': 3}",0.0013500979403033853,0.014275623485445976,0.5085650682449341
qvr9twqn,983,explicit-mlp,same,"{'fixed_freq': True, 'n_freq': 3}",0.0017021431121975183,0.016606736928224564,0.36390528082847595
xhokbrjk,983,explicit-mlp,same,"{'fixed_freq': True, 'n_freq': 3}",0.0011411645682528615,0.011522063985466957,0.6521663069725037
167t8ips,971,explicit-transformer,near,"{'fixed_freq': False, 'n_freq': 3}",0.009229542687535286,0.5207929611206055,0.2797694206237793
hl14uye7,971,explicit-transformer,near,"{'fixed_freq': False, 'n_freq': 3}",0.008351960219442844,0.49873682856559753,0.2713890075683594
hnyv40mw,971,explicit-transformer,near,"{'fixed_freq': False, 'n_freq': 3}",0.009096169844269753,0.5250657796859741,0.3215388357639313
f7rv9z1m,971,explicit-transformer,near,"{'fixed_freq': False, 'n_freq': 3}",0.008952402509748936,0.5699036121368408,0.31481197476387024
9g2fwd9v,971,explicit-transformer,near,"{'fixed_freq': False, 'n_freq': 3}",0.007499995641410351,0.42269009351730347,0.23969559371471405
xy0w20t6,961,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 10}",0.01780683360993862,1.134049654006958,0.7210362553596497
ygrgfnpq,961,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 10}",0.022518936544656754,1.3823683261871338,0.8013113141059875
m8mwq05d,961,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 10}",0.018441548570990562,1.1488139629364014,0.7088727355003357
edpdc9ux,961,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 10}",0.02089892514050007,1.197069525718689,0.9058299660682678
ja6skc2g,961,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 10}",0.01906886138021946,1.3391708135604858,0.970856785774231
bisdwi2x,872,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 3}",0.0007716096588410437,0.010963549837470055,0.17700499296188354
e1auqtqp,872,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 3}",0.00047637097304686904,0.005956851877272129,0.20607785880565643
bxo0ew0s,872,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 3}",0.0008596968255005777,0.010303805582225323,0.2135775238275528
94u2yav3,872,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 3}",0.0006178432959131896,0.007626454811543226,0.190461203455925
0tz4cuju,872,explicit-transformer,near,"{'fixed_freq': True, 'n_freq': 3}",0.0005633684922941029,0.006130366586148739,0.22991080582141876
qwqvza2c,969,explicit-transformer,same,"{'fixed_freq': False, 'n_freq': 3}",0.005020784214138985,0.2366630882024765,0.17569100856781006
y6fcrdv7,969,explicit-transformer,same,"{'fixed_freq': False, 'n_freq': 3}",0.005386332981288433,0.2259375900030136,0.178646981716156
hunhipo3,969,explicit-transformer,same,"{'fixed_freq': False, 'n_freq': 3}",0.006592777092009783,0.27986985445022583,0.19153141975402832
rjw24blo,969,explicit-transformer,same,"{'fixed_freq': False, 'n_freq': 3}",0.006141351535916328,0.24297863245010376,0.19157782196998596
r62jdex8,969,explicit-transformer,same,"{'fixed_freq': False, 'n_freq': 3}",0.006500079296529293,0.250627338886261,0.1908397227525711
3ai83hxz,989,explicit-transformer,same,"{'fixed_freq': True, 'n_freq': 10}",0.009985969401896,0.3982338309288025,0.6253320574760437
myj6zt92,989,explicit-transformer,same,"{'fixed_freq': True, 'n_freq': 10}",0.009692815132439137,0.38993212580680847,0.6183918118476868
sg7l4iph,989,explicit-transformer,same,"{'fixed_freq': True, 'n_freq': 10}",0.011388460174202919,0.4335660934448242,0.7103863954544067
