run_id,epoch,model,val/iid_MSE,val/far_MSE,val/wide_MSE
4ss1iqcy,966,explicit-known,0.0002817694330587983,0.0006382047431543469,0.0009129149257205427
rj8uif0r,966,explicit-known,0.00033690250711515546,0.0008783480152487755,0.001101663219742477
risu2qfm,966,explicit-known,0.00029655706021003425,0.0007899364572949708,0.0009593276190571487
ckv046nm,966,explicit-known,0.0004636999510694295,0.0013687571045011282,0.00148573808837682
d6312lk9,966,explicit-known,0.0003542739723343402,0.001283914316445589,0.001303264987654984
kznpcei0,983,explicit-mlp,0.0018712531309574842,0.017142510041594505,0.2880097031593323
m7jepbsj,983,explicit-mlp,0.0012560549657791853,0.0385335236787796,0.4531400203704834
18bfbyoo,983,explicit-mlp,0.0013500979403033853,0.014275623485445976,0.5085650682449341
qvr9twqn,983,explicit-mlp,0.0017021431121975183,0.016606736928224564,0.36390528082847595
xhokbrjk,983,explicit-mlp,0.0011411645682528615,0.011522063985466957,0.6521663069725037
355djb8b,989,explicit-transformer,0.0005480129620991647,0.00386836682446301,0.16285812854766846
v05jo6g3,989,explicit-transformer,0.0005414818879216909,0.004136831499636173,0.20418962836265564
xucvl1mq,989,explicit-transformer,0.0006805068114772439,0.0050074635073542595,0.18584264814853668
8g927opc,989,explicit-transformer,0.0005661424365825951,0.004792593885213137,0.1998940110206604
wfrbmi86,989,explicit-transformer,0.0005110509810037911,0.004603000823408365,0.18981190025806427
50iq9k13,837,implicit,0.0003227907873224467,0.006998310796916485,0.14413103461265564
mf6vrssh,837,implicit,0.0003343397402204573,0.006974876392632723,0.14759010076522827
h962do7j,837,implicit,0.0003592712164390832,0.005893286317586899,0.1662009358406067
hg80051s,837,implicit,0.00028071971610188484,0.0047983815893530846,0.1675456017255783
bosucwzl,837,implicit,0.0003364242147654295,0.008753121830523014,0.1516260802745819
